Relevance,QueryId,DocumentId,DocumentLink
4,1,0,http://otvet.mail.ru/question/195527651/
4,1,1,http://otvet.mail.ru/question/195596044/
3,1,2,http://ask.fm/Liza_1911
3,1,3,https://vk.com/polly_and_viole
3,1,4,http://forum.wmj.ru/topic/7969-%D0%BA%D0%B0%D0%BA-%D0%B7%D0%B0%D1%81%D0%BD%D1%83%D1%82%D1%8C-%D0%B2-%D0%B6%D0%B0%D1%80%D1%83/
2,1,5,http://readmanga.me/star_colored_gift/vol1/2
2,1,6,http://statusmax.ru/best/45006-status.html
2,1,7,http://bibo.kz/kipa/270690-a-vy-tozhe-zakhodite-na-kukhnju-chtob-zagljanut-v.html
1,1,8,http://gameotvet.ru/1909-kuda_chelovek_chasto_zaglyadivaet.html
1,1,9,http://forum.lingvo.ru/actualthread.aspx?tid=135943
0,1,10,https://fotostrana.ru/public/post/235986/1005450797/
0,1,11,http://www.baby.ru/blogs/post/851809-720910/
0,1,12,http://zemlemer-67.ru/statusy/4910-statusy-o-detyah
0,1,13,http://ladyvenus.ru/articles/zdorove-i-dolgoletie/fizicheskoe-zdorove/vozvrashchenie-k-zhizni-ili-kak-poborot-ustalost.h
0,1,14,http://ru.wikihow.com/%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D0%BF%D0%BE%D1%82%D0%B5%D1%80%D1%8F%D0%B2%D1%88%D1%83%D1%8E%D1%81%D1%8F-%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D1%83
0,1,15,https://job.ukr.net/news/subsidii-inspektory-zagljadyvajut-v-holodilnik-i-prosjat-cheki/
0,1,16,http://www.rulit.me/books/kir-bulychev-sobranie-sochinenij-v-18-tomah-t-14-read-340433-39.html
0,1,17,http://upsskirt.ru/podglad/
0,1,18,https://kaspi.kz/shop/p/samsung-rl-52-tebsl-silver-2700065/sellers-tab
0,1,19,http://nowa.cc/archive/index.php/t-253143.html
0,1,20,http://e-libra.ru/read/326766-devochka-s-zemli.html
0,1,21,https://new.vk.com/pustota_fanfic
0,1,22,http://rubook.org/book.php?book=9654\u0026page=26
0,1,23,http://kriminalnn.ru/2016/09/07/v-sarove-grabitel-ukral-u-spyashhej-devushki-polovinku-tortika-435645/
0,1,24,http://chelyabinsk.e96.ru/kitchen_appliance/large/holodilniki/beko_cn_327120_white
0,1,25,http://www.galya.ru/catd_new_page.php?id=4495794
0,1,26,http://stoboj.at.ua/news/chtoby_ne_zasnut_ja_sosredotoch/2013-06-25-259
